aIsAgressive, bIsAgressive, score
false, false, 15,
false, false, 15,
false, false, 15,
false, false, 15,
false, false, 15,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 12,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 10,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 13,
false, false, 0,
false, false, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 3,
true, true, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 0,
false, false, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 3,
true, true, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 0,
false, false, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
